city_id,city_name_cn,metric_year,statutory_debt_balance_100m,raw_value_million_rmb,value_origin,source_doc_id,source_url,evidence_excerpt,source_grade
CN-511500,宜宾市,2019,471.00000,47100.000,calculated,SRC-SECONDARY-CEIC-CN-511500,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-yibin;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-yibin,CEIC一般+专项分项：一般=24700.000，专项=22400.000百万人民币；合计为计算值,D
CN-511500,宜宾市,2020,579.00000,57900.000,calculated,SRC-SECONDARY-CEIC-CN-511500,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-yibin;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-yibin,CEIC一般+专项分项：一般=24900.000，专项=33000.000百万人民币；合计为计算值,D
CN-511500,宜宾市,2021,742.00000,74200.000,calculated,SRC-SECONDARY-CEIC-CN-511500,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-yibin;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-yibin,CEIC一般+专项分项：一般=28910.000，专项=45290.000百万人民币；合计为计算值,D
CN-511500,宜宾市,2022,903.70000,90370.000,calculated,SRC-SECONDARY-CEIC-CN-511500,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-yibin;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-yibin,CEIC一般+专项分项：一般=29140.000，专项=61230.000百万人民币；合计为计算值,D
CN-511500,宜宾市,2023,1101.90000,110190.000,calculated,SRC-SECONDARY-CEIC-CN-511500,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-yibin;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-yibin,CEIC一般+专项分项：一般=32250.000，专项=77940.000百万人民币；合计为计算值,D
CN-511500,宜宾市,2024,1348.30000,134830.000,calculated,SRC-SECONDARY-CEIC-CN-511500,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-general-sichuan-yibin;https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-special-sichuan-yibin,CEIC一般+专项分项：一般=35260.000，专项=99570.000百万人民币；合计为计算值,D
CN-511600,广安市,2018,273.00000,27300.000,disclosed,SRC-SECONDARY-CEIC-CN-511600,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-guangan,CEIC图表：2018年=27300.000百万人民币,D
CN-511600,广安市,2019,309.00000,30900.000,disclosed,SRC-SECONDARY-CEIC-CN-511600,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-guangan,CEIC图表：2019年=30900.000百万人民币,D
CN-511600,广安市,2020,381.00000,38100.000,disclosed,SRC-SECONDARY-CEIC-CN-511600,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-guangan,CEIC图表：2020年=38100.000百万人民币,D
CN-511600,广安市,2021,454.30000,45430.000,disclosed,SRC-SECONDARY-CEIC-CN-511600,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-guangan,CEIC图表：2021年=45430.000百万人民币,D
